#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	pfam_name	pfam_acc	pfam_desc	Taxonomy
metaerg.pl|00113	NODE_1_length_141231_cov_51.1498	79986	80429	444	-1	No	0	DUF4065	PF13274	"Protein of unknown function (DUF4065)"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus piscium_C
metaerg.pl|00122	NODE_1_length_141231_cov_51.1498	85052	85783	732	-1	No	0	dNK	PF01712	"Deoxynucleoside kinase"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cuniculi
metaerg.pl|00123	NODE_1_length_141231_cov_51.1498	85925	87004	1080	-1	No	0	Toprim_N	PF08275	"DNA primase catalytic core, N-terminal domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00123	NODE_1_length_141231_cov_51.1498	85925	87004	1080	-1	No	0	zf-CHC2	PF01807	"CHC2 zinc finger"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00125	NODE_1_length_141231_cov_51.1498	87745	89652	1908	-1	No	0	AAA_23	PF13476	"AAA domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00127	NODE_1_length_141231_cov_51.1498	90151	91311	1161	-1	No	0	Metallophos	PF00149	"Calcineurin-like phosphoesterase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00128	NODE_1_length_141231_cov_51.1498	91327	92826	1500	-1	No	0	AAA_25	PF13481	"AAA domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;
metaerg.pl|00128	NODE_1_length_141231_cov_51.1498	91327	92826	1500	-1	No	0	ATPase	PF06745	"KaiC"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;
metaerg.pl|00128	NODE_1_length_141231_cov_51.1498	91327	92826	1500	-1	No	0	DnaB_C	PF03796	"DnaB-like helicase C terminal domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;
metaerg.pl|00128	NODE_1_length_141231_cov_51.1498	91327	92826	1500	-1	No	0	ResIII	PF04851	"Type III restriction enzyme, res subunit"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;
metaerg.pl|00130	NODE_1_length_141231_cov_51.1498	94079	94609	531	-1	No	0	Phage_holin_6_1	PF09682	"Bacteriophage holin of superfamily 6 (Holin_LLH)"	unknow
metaerg.pl|00131	NODE_1_length_141231_cov_51.1498	94683	94868	186	-1	No	0	Phage_XkdX	PF09693	"Phage uncharacterised protein (Phage_XkdX)"	unknow
metaerg.pl|00133	NODE_1_length_141231_cov_51.1498	95391	95693	303	-1	No	0	Phage_XkdX	PF09693	"Phage uncharacterised protein (Phage_XkdX)"	unknow
metaerg.pl|00136	NODE_1_length_141231_cov_51.1498	98268	102401	4134	-1	No	0	DUF4815	PF16075	"Domain of unknown function (DUF4815)"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Enterococcus virus phiEC24C;no__Enterococcus phage phiEF24C;
metaerg.pl|00139	NODE_1_length_141231_cov_51.1498	108133	110385	2253	-1	No	0	Baseplate_J	PF04865	"Baseplate J-like protein"	unknow
metaerg.pl|00144	NODE_1_length_141231_cov_51.1498	114754	116940	2187	-1	No	0	NLPC_P60	PF00877	"NlpC/P60 family"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus LP65;
metaerg.pl|00147	NODE_1_length_141231_cov_51.1498	118006	121668	3663	-1	No	0	Glucosaminidase	PF01832	"Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Lactobacillus phage LfeInf;
metaerg.pl|00148	NODE_1_length_141231_cov_51.1498	121696	125220	3525	-1	No	0	Phage_lysozyme2	PF18013	"Phage tail lysozyme"	unknow
metaerg.pl|00151	NODE_1_length_141231_cov_51.1498	126566	126775	210	-1	No	0	HTH_26	PF13443	"Cro/C1-type HTH DNA-binding domain"	unknow
metaerg.pl|00152	NODE_1_length_141231_cov_51.1498	126729	127007	279	-1	No	0	HTH_26	PF13443	"Cro/C1-type HTH DNA-binding domain"	unknow
metaerg.pl|00152	NODE_1_length_141231_cov_51.1498	126729	127007	279	-1	No	0	HTH_3	PF01381	"Helix-turn-helix"	unknow
metaerg.pl|00163	NODE_1_length_141231_cov_51.1498	137193	137987	795	-1	No	0	Peptidase_S78	PF04586	"Caudovirus prohead serine protease"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus LP65;
metaerg.pl|00164	NODE_1_length_141231_cov_51.1498	138062	139789	1728	-1	No	0	Phage_portal	PF04860	"Phage portal protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus LP65;
metaerg.pl|00170	NODE_2_length_111948_cov_23.7747	2659	4887	2229	-1	No	0	Baseplate_J	PF04865	"Baseplate J-like protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00170	NODE_2_length_111948_cov_23.7747	2659	4887	2229	-1	No	0	DUF2612	PF11041	"Protein of unknown function (DUF2612)"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00173	NODE_2_length_111948_cov_23.7747	6707	7843	1137	-1	No	0	Glyco_hydro_25	PF01183	"Glycosyl hydrolases family 25"	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis
metaerg.pl|00173	NODE_2_length_111948_cov_23.7747	6707	7843	1137	-1	No	0	LysM	PF01476	"LysM domain"	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis
metaerg.pl|00178	NODE_2_length_111948_cov_23.7747	10202	12748	2547	-1	No	0	CHAP	PF05257	"CHAP domain"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp002939385
metaerg.pl|00180	NODE_2_length_111948_cov_23.7747	13531	14427	897	-1	No	0	SLT	PF01464	"Transglycosylase SLT domain"	unknow
metaerg.pl|00187	NODE_2_length_111948_cov_23.7747	21869	22975	1107	-1	No	0	dUTPase	PF00692	"dUTPase"	unknow
metaerg.pl|00190	NODE_2_length_111948_cov_23.7747	24439	25521	1083	-1	No	0	Thy1	PF02511	"Thymidylate synthase complementing protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp000760615
metaerg.pl|00196	NODE_2_length_111948_cov_23.7747	27321	28250	930	-1	No	0	Band_7	PF01145	"SPFH domain / Band 7 family"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris
metaerg.pl|00200	NODE_2_length_111948_cov_23.7747	30205	31680	1476	-1	No	0	AAA_33	PF13671	"AAA domain"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri
metaerg.pl|00200	NODE_2_length_111948_cov_23.7747	30205	31680	1476	-1	No	0	RNA_lig_T4_1	PF09511	"RNA ligase"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri
metaerg.pl|00201	NODE_2_length_111948_cov_23.7747	31786	32922	1137	-1	No	0	Metallophos	PF00149	"Calcineurin-like phosphoesterase"	unknow
metaerg.pl|00201	NODE_2_length_111948_cov_23.7747	31786	32922	1137	-1	No	0	Metallophos_2	PF12850	"Calcineurin-like phosphoesterase superfamily domain"	unknow
metaerg.pl|00258	NODE_2_length_111948_cov_23.7747	67418	67882	465	-1	No	0	HTH_23	PF13384	"Homeodomain-like domain"	unknow
metaerg.pl|00258	NODE_2_length_111948_cov_23.7747	67418	67882	465	-1	No	0	HTH_24	PF13412	"Winged helix-turn-helix DNA-binding"	unknow
metaerg.pl|00258	NODE_2_length_111948_cov_23.7747	67418	67882	465	-1	No	0	HTH_28	PF13518	"Helix-turn-helix domain"	unknow
metaerg.pl|00258	NODE_2_length_111948_cov_23.7747	67418	67882	465	-1	No	0	HTH_Tnp_ISL3	PF13542	"Helix-turn-helix domain of transposase family ISL3"	unknow
metaerg.pl|00259	NODE_2_length_111948_cov_23.7747	68043	68579	537	-1	No	0	DCD	PF06559	"2'-deoxycytidine 5'-triphosphate deaminase (DCD)"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__Demequina flava
metaerg.pl|00259	NODE_2_length_111948_cov_23.7747	68043	68579	537	-1	No	0	dUTPase	PF00692	"dUTPase"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__Demequina flava
metaerg.pl|00263	NODE_2_length_111948_cov_23.7747	71037	71987	951	-1	No	0	Toprim_2	PF13155	"Toprim-like"	unknow
metaerg.pl|00263	NODE_2_length_111948_cov_23.7747	71037	71987	951	-1	No	0	Toprim_4	PF13662	"Toprim domain"	unknow
metaerg.pl|00263	NODE_2_length_111948_cov_23.7747	71037	71987	951	-1	No	0	Toprim_N	PF08275	"DNA primase catalytic core, N-terminal domain"	unknow
metaerg.pl|00264	NODE_2_length_111948_cov_23.7747	71984	73249	1266	-1	No	0	AAA_25	PF13481	"AAA domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00264	NODE_2_length_111948_cov_23.7747	71984	73249	1266	-1	No	0	ATPase	PF06745	"KaiC"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00264	NODE_2_length_111948_cov_23.7747	71984	73249	1266	-1	No	0	DnaB_C	PF03796	"DnaB-like helicase C terminal domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00265	NODE_2_length_111948_cov_23.7747	73303	74070	768	-1	No	0	IstB_IS21	PF01695	"IstB-like ATP binding protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00266	NODE_2_length_111948_cov_23.7747	74179	74481	303	-1	No	0	Whib	PF02467	"Transcription factor WhiB"	unknow
metaerg.pl|00269	NODE_2_length_111948_cov_23.7747	75686	77008	1323	-1	No	0	RecA	PF00154	"recA bacterial DNA recombination protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Bxz1virus;s__Mycobacterium virus Bxz1;
metaerg.pl|00276	NODE_2_length_111948_cov_23.7747	79626	80360	735	-1	No	0	RNase_T	PF00929	"Exonuclease"	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314945
metaerg.pl|00278	NODE_2_length_111948_cov_23.7747	81117	81989	873	-1	No	0	5_3_exonuc_N	PF02739	"5'-3' exonuclease, N-terminal resolvase-like domain"	d__Bacteria;p__Omnitrophota;c__koll11;o__1-14-0-20-42-13;f__1-14-0-20-42-13;g__1-14-0-20-42-13;s__1-14-0-20-42-13 sp002796125
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	DNA_pol3_alpha	PF07733	"Bacterial DNA polymerase III alpha NTPase domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	DNA_pol3_finger	PF17657	"Bacterial DNA polymerase III alpha subunit finger domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	HHH_6	PF14579	"Helix-hairpin-helix motif"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	PHP	PF02811	"PHP domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00282	NODE_2_length_111948_cov_23.7747	87860	89695	1836	-1	No	0	BRCT	PF00533	"BRCA1 C Terminus (BRCT) domain"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinacoccus;s__Urinacoccus sp001299455
metaerg.pl|00282	NODE_2_length_111948_cov_23.7747	87860	89695	1836	-1	No	0	DNA_ligase_aden	PF01653	"NAD-dependent DNA ligase adenylation domain"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinacoccus;s__Urinacoccus sp001299455
metaerg.pl|00282	NODE_2_length_111948_cov_23.7747	87860	89695	1836	-1	No	0	DNA_ligase_OB	PF03120	"NAD-dependent DNA ligase OB-fold domain"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinacoccus;s__Urinacoccus sp001299455
metaerg.pl|00282	NODE_2_length_111948_cov_23.7747	87860	89695	1836	-1	No	0	PTCB-BRCT	PF12738	"twin BRCT domain"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinacoccus;s__Urinacoccus sp001299455
metaerg.pl|00298	NODE_2_length_111948_cov_23.7747	107391	110333	2943	-1	No	0	YadA_head	PF05658	"Head domain of trimeric autotransporter adhesin"	unknow
metaerg.pl|00303	NODE_3_length_103051_cov_39.1774	1007	1468	462	1	No	0	SpoU_methylase	PF00588	"SpoU rRNA Methylase family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas ureilytica
metaerg.pl|00304	NODE_3_length_103051_cov_39.1774	1468	1848	381	1	No	0	SSB	PF00436	"Single-strand binding protein family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__GCA-2722175;g__GCA-2722175;s__GCA-2722175 sp002722175
metaerg.pl|00311	NODE_3_length_103051_cov_39.1774	6470	7120	651	1	No	0	AAA_31	PF13614	"AAA domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00311	NODE_3_length_103051_cov_39.1774	6470	7120	651	1	No	0	CbiA	PF01656	"CobQ/CobB/MinD/ParA nucleotide binding domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00325	NODE_3_length_103051_cov_39.1774	17824	19386	1563	-1	No	0	Helicase_C	PF00271	"Helicase conserved C-terminal domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00325	NODE_3_length_103051_cov_39.1774	17824	19386	1563	-1	No	0	ResIII	PF04851	"Type III restriction enzyme, res subunit"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00326	NODE_3_length_103051_cov_39.1774	19495	20151	657	1	No	0	ParBc	PF02195	"ParB-like nuclease domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00327	NODE_3_length_103051_cov_39.1774	20217	20906	690	1	No	0	ParBc	PF02195	"ParB-like nuclease domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00329	NODE_3_length_103051_cov_39.1774	21370	22005	636	1	No	0	ABC_tran	PF00005	"ABC transporter"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00333	NODE_3_length_103051_cov_39.1774	24021	25298	1278	1	No	0	Terminase_6	PF03237	"Terminase-like family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00336	NODE_3_length_103051_cov_39.1774	28247	29149	903	1	No	0	Phage_capsid	PF05065	"Phage capsid family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00347	NODE_3_length_103051_cov_39.1774	34760	39493	4734	1	No	0	Peptidase_M15_4	PF13539	"D-alanyl-D-alanine carboxypeptidase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;no__unclassified Caudovirales;s__Rhizobium phage RHEph10;
metaerg.pl|00347	NODE_3_length_103051_cov_39.1774	34760	39493	4734	1	No	0	Tape_meas_lam_C	PF09718	"Lambda phage tail tape-measure protein (Tape_meas_lam_C)"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;no__unclassified Caudovirales;s__Rhizobium phage RHEph10;
metaerg.pl|00348	NODE_3_length_103051_cov_39.1774	39505	40254	750	1	No	0	NLPC_P60	PF00877	"NlpC/P60 family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00349	NODE_3_length_103051_cov_39.1774	40331	40684	354	1	No	0	Phage_min_tail	PF05939	"Phage minor tail protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00350	NODE_3_length_103051_cov_39.1774	40708	41415	708	1	No	0	Phage_tail_L	PF05100	"Phage minor tail protein L"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;no__unclassified Caudovirales;s__Rhizobium phage RHEph10;
metaerg.pl|00351	NODE_3_length_103051_cov_39.1774	41412	42221	810	1	No	0	NLPC_P60	PF00877	"NlpC/P60 family"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00351	NODE_3_length_103051_cov_39.1774	41412	42221	810	1	No	0	Prok-JAB	PF14464	"Prokaryotic homologs of the JAB domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00352	NODE_3_length_103051_cov_39.1774	42214	42819	606	1	No	0	Lambda_tail_I	PF06805	"Bacteriophage lambda tail assembly protein I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00353	NODE_3_length_103051_cov_39.1774	42779	47440	4662	1	No	0	Phage-tail_3	PF13550	"Putative phage tail protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00360	NODE_3_length_103051_cov_39.1774	50008	50532	525	1	No	0	Amidase_2	PF01510	"N-acetylmuramoyl-L-alanine amidase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mycoplana;s__Mycoplana sp900469965
metaerg.pl|00367	NODE_3_length_103051_cov_39.1774	56405	57070	666	1	No	0	AAA_19	PF13245	"AAA domain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Afifellaceae;g__A52C2;s__A52C2 sp900110915
