#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	ec_id	ec_name	Taxonomy
metaerg.pl|00385	NODE_3_length_103051_cov_39.1774	72645	76007	3363	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
metaerg.pl|00388	NODE_3_length_103051_cov_39.1774	77762	78691	930	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
metaerg.pl|00400	NODE_3_length_103051_cov_39.1774	87851	89557	1707	1	No	0	1.17.4.1	"Ribonucleoside-diphosphate reductase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
metaerg.pl|00403	NODE_3_length_103051_cov_39.1774	90846	91535	690	1	No	0	3.6.1.23	"dUTP diphosphatase."	"unknow"
metaerg.pl|00406	NODE_3_length_103051_cov_39.1774	92758	93291	534	1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
metaerg.pl|00455	NODE_4_length_99052_cov_18.771	23122	23598	477	-1	No	0	2.4.2.6	"Nucleoside deoxyribosyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus apis"
metaerg.pl|00478	NODE_4_length_99052_cov_18.771	37308	37952	645	-1	No	0	2.7.1.113	"Deoxyguanosine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"
metaerg.pl|00479	NODE_4_length_99052_cov_18.771	37956	38591	636	-1	No	0	2.7.1.76	"Deoxyadenosine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus pasteurii"
metaerg.pl|00518	NODE_4_length_99052_cov_18.771	86052	87938	1887	1	No	0	3.1.11.-	"Exodeoxyribonucleases producing 5'-phosphomonoesters."	"d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;"
metaerg.pl|00531	NODE_4_length_99052_cov_18.771	98114	98785	672	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Tsarbombavirus;s__Bacillus virus BCP78;"
metaerg.pl|00570	NODE_5_length_43281_cov_58.8939	20142	20768	627	-1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Tsarbombavirus;s__Bacillus virus TsarBomba;"
metaerg.pl|00582	NODE_5_length_43281_cov_58.8939	29926	31812	1887	-1	No	0	3.1.11.-	"Exodeoxyribonucleases producing 5'-phosphomonoesters."	"d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;"
metaerg.pl|00802	NODE_10_length_31793_cov_12.5032	6225	6869	645	-1	No	0	2.7.1.113	"Deoxyguanosine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A"
metaerg.pl|00803	NODE_10_length_31793_cov_12.5032	6873	7583	711	-1	No	0	2.7.1.76	"Deoxyadenosine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis"
metaerg.pl|00861	NODE_12_length_30597_cov_11.657	1	1023	1023	1	No	0	3.6.1.3	"Adenosinetriphosphatase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tribocorum_B"
metaerg.pl|00912	NODE_13_length_29836_cov_11.4496	6397	8499	2103	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_E"
metaerg.pl|00916	NODE_13_length_29836_cov_11.4496	9195	9464	270	1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_E"
metaerg.pl|00918	NODE_13_length_29836_cov_11.4496	10843	11916	1074	1	No	0	2.1.1.37	"DNA (cytosine-5-)-methyltransferase."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella bombi"
metaerg.pl|00921	NODE_13_length_29836_cov_11.4496	12913	14085	1173	-1	No	0	2.7.7.-	"Nucleotidyltransferases."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_Q"
metaerg.pl|00924	NODE_13_length_29836_cov_11.4496	17394	17915	522	-1	No	0	3.2.1.17	"Lysozyme."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215"
metaerg.pl|00937	NODE_14_length_29130_cov_105.403	4284	5237	954	-1	No	0	2.5.1.61	"Hydroxymethylbilane synthase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00939	NODE_14_length_29130_cov_105.403	6318	7100	783	-1	No	0	3.6.3.-	"Acting on acid anhydrides; catalyzing transmembrane movement of substances."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00942	NODE_14_length_29130_cov_105.403	9542	10261	720	1	No	0	2.7.7.56	"tRNA nucleotidyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00943	NODE_14_length_29130_cov_105.403	10273	10920	648	1	No	0	3.6.1.66	"XTP/dITP diphosphatase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00944	NODE_14_length_29130_cov_105.403	10917	12080	1164	1	No	0	1.3.99.22	"Transferred entry: 1.3.98.3."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00946	NODE_14_length_29130_cov_105.403	13649	14902	1254	1	No	0	2.7.1.219	"D-threonate 4-kinase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00947	NODE_14_length_29130_cov_105.403	14902	15894	993	1	No	0	1.1.1.408	"4-phospho-D-threonate 3-dehydrogenase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00947	NODE_14_length_29130_cov_105.403	14902	15894	993	1	No	0	1.1.1.262	"4-hydroxythreonine-4-phosphate dehydrogenase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00950	NODE_14_length_29130_cov_105.403	19061	20056	996	-1	No	0	1.1.1.-	"With NAD(+) or NADP(+) as acceptor."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00951	NODE_14_length_29130_cov_105.403	20123	21112	990	-1	No	0	1.1.1.-	"With NAD(+) or NADP(+) as acceptor."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00953	NODE_14_length_29130_cov_105.403	22579	23499	921	1	No	0	2.7.2.8	"Acetylglutamate kinase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00954	NODE_14_length_29130_cov_105.403	23496	24173	678	1	No	0	3.1.3.5	"5'-nucleotidase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00957	NODE_14_length_29130_cov_105.403	25414	27219	1806	1	No	0	3.6.5.n1	"Elongation factor 4."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00957	NODE_14_length_29130_cov_105.403	25414	27219	1806	1	No	0	3.6.5.-	"Acting on GTP; involved in cellular and subcellular movement."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00958	NODE_14_length_29130_cov_105.403	27974	28822	849	-1	No	0	2.3.1.117	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00962	NODE_15_length_26706_cov_26.1813	935	1573	639	-1	No	0	2.3.1.184	"Acyl-homoserine-lactone synthase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae"
metaerg.pl|00963	NODE_15_length_26706_cov_26.1813	1762	1977	216	1	No	0	1.14.13.114	"6-hydroxynicotinate 3-monooxygenase."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia sp002843235"
metaerg.pl|00968	NODE_15_length_26706_cov_26.1813	5056	6267	1212	1	No	0	1.1.1.42	"Isocitrate dehydrogenase (NADP(+))."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00970	NODE_15_length_26706_cov_26.1813	7862	8827	966	-1	No	0	6.3.1.10	"Adenosylcobinamide-phosphate synthase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|00972	NODE_15_length_26706_cov_26.1813	10247	11551	1305	-1	No	0	6.3.5.9	"Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae"
metaerg.pl|00972	NODE_15_length_26706_cov_26.1813	10247	11551	1305	-1	No	0	6.3.1.-	"Acid--ammonia (or amine) ligases (amide synthases)."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae"
metaerg.pl|00973	NODE_15_length_26706_cov_26.1813	11569	12363	795	-1	No	0	2.1.1.107	"Uroporphyrinogen-III C-methyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00974	NODE_15_length_26706_cov_26.1813	12502	13605	1104	1	No	0	2.1.1.195	"Cobalt-precorrin-5B (C(1))-methyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae"
metaerg.pl|00975	NODE_15_length_26706_cov_26.1813	13592	14344	753	1	No	0	1.3.1.54	"Precorrin-6A reductase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00976	NODE_15_length_26706_cov_26.1813	14327	15058	732	-1	No	0	2.1.1.133	"Precorrin-4 C(11)-methyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00981	NODE_15_length_26706_cov_26.1813	17236	17862	627	-1	No	0	2.5.1.17	"Corrinoid adenosyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00982	NODE_15_length_26706_cov_26.1813	17862	21590	3729	-1	No	0	6.6.1.2	"Cobaltochelatase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00984	NODE_15_length_26706_cov_26.1813	22663	23175	513	-1	No	0	2.7.1.156	"Adenosylcobinamide kinase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00985	NODE_15_length_26706_cov_26.1813	23439	24878	1440	-1	No	0	6.3.5.10	"Adenosylcobyric acid synthase (glutamine-hydrolyzing)."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|00986	NODE_15_length_26706_cov_26.1813	25282	26268	987	-1	No	0	1.-.-.-	"Oxidoreductases."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|00987	NODE_15_length_26706_cov_26.1813	26331	26705	375	-1	No	0	2.4.2.29	"tRNA-guanine(34) transglycosylase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A sp002278035"
metaerg.pl|00987	NODE_15_length_26706_cov_26.1813	26331	26705	375	-1	No	0	2.4.2.-	"Pentosyltransferases."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A sp002278035"
metaerg.pl|01030	NODE_17_length_25068_cov_6.28501	720	1520	801	1	No	0	3.2.1.17	"Lysozyme."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01031	NODE_17_length_25068_cov_6.28501	1639	2892	1254	1	No	0	2.4.-.-	"Glycosyltransferases."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01033	NODE_17_length_25068_cov_6.28501	4062	4982	921	-1	No	0	1.5.1.20	"Methylenetetrahydrofolate reductase (NAD(P)H)."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01037	NODE_17_length_25068_cov_6.28501	7928	8692	765	-1	No	0	2.1.1.144	"Trans-aconitate 2-methyltransferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01038	NODE_17_length_25068_cov_6.28501	9271	10920	1650	-1	No	0	3.6.3.41	"Transferred entry: 7.6.2.5."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01040	NODE_17_length_25068_cov_6.28501	12572	13303	732	1	No	0	2.4.2.53	"Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01042	NODE_17_length_25068_cov_6.28501	14219	15721	1503	-1	No	0	2.4.1.-	"Hexosyltransferases."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01043	NODE_17_length_25068_cov_6.28501	15825	17123	1299	-1	No	0	1.1.1.22	"UDP-glucose 6-dehydrogenase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A"
metaerg.pl|01044	NODE_17_length_25068_cov_6.28501	17217	17828	612	1	No	0	3.5.1.19	"Nicotinamidase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01105	NODE_19_length_24592_cov_142.716	6684	13223	6540	-1	No	0	3.6.4.-	"Acting on ATP; involved in cellular and subcellular movement."	"unknow"
metaerg.pl|01118	NODE_19_length_24592_cov_142.716	22116	22409	294	-1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella alvi"
metaerg.pl|01142	NODE_20_length_23920_cov_55.2592	15913	16998	1086	-1	No	0	2.7.7.-	"Nucleotidyltransferases."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_B;s__Serratia_B odorifera"
metaerg.pl|01202	NODE_22_length_22363_cov_9.64521	1697	2698	1002	1	No	0	2.7.7.-	"Nucleotidyltransferases."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215"
metaerg.pl|01233	NODE_23_length_21946_cov_37.5426	1848	2753	906	1	No	0	2.1.1.37	"DNA (cytosine-5-)-methyltransferase."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_I"
metaerg.pl|01246	NODE_23_length_21946_cov_37.5426	13391	14110	720	-1	No	0	3.4.-.-	"Acting on peptide bonds (peptidases)."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_M"
metaerg.pl|01340	NODE_27_length_20007_cov_7.67748	1149	4061	2913	1	No	0	3.1.25.-	"Site-specific endodeoxyribonucleases specific for altered bases."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01342	NODE_27_length_20007_cov_7.67748	5656	7203	1548	-1	No	0	4.2.1.136	"ADP-dependent NAD(P)H-hydrate dehydratase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01342	NODE_27_length_20007_cov_7.67748	5656	7203	1548	-1	No	0	5.1.99.6	"NAD(P)H-hydrate epimerase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01344	NODE_27_length_20007_cov_7.67748	7822	9231	1410	1	No	0	6.3.1.2	"Glutamine synthetase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01348	NODE_27_length_20007_cov_7.67748	11371	12045	675	-1	No	0	3.1.3.18	"Phosphoglycolate phosphatase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01349	NODE_27_length_20007_cov_7.67748	12045	13028	984	-1	No	0	5.4.99.24	"23S rRNA pseudouridine(955/2504/2580) synthase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01349	NODE_27_length_20007_cov_7.67748	12045	13028	984	-1	No	0	5.4.99.-	"Transferring other groups."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01350	NODE_27_length_20007_cov_7.67748	13230	15068	1839	1	No	0	7.5.2.3	"ABC-type beta-glucan transporter."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01350	NODE_27_length_20007_cov_7.67748	13230	15068	1839	1	No	0	3.6.3.42	"Transferred entry: 7.5.2.3."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis"
metaerg.pl|01351	NODE_27_length_20007_cov_7.67748	15383	18049	2667	-1	No	0	6.1.1.7	"Alanine--tRNA ligase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01365	NODE_28_length_19890_cov_7.09115	12680	13198	519	1	No	0	3.2.1.17	"Lysozyme."	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215"
metaerg.pl|01380	NODE_29_length_19754_cov_9.27773	3	614	612	1	No	0	3.4.11.1	"Leucyl aminopeptidase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01390	NODE_29_length_19754_cov_9.27773	12536	13309	774	1	No	0	3.1.1.93	"Mycophenolic acid acyl-glucuronide esterase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01392	NODE_29_length_19754_cov_9.27773	14877	15551	675	-1	No	0	3.5.99.2	"Aminopyrimidine aminohydrolase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae"
metaerg.pl|01394	NODE_29_length_19754_cov_9.27773	17333	18496	1164	-1	No	0	3.5.1.32	"Hippurate hydrolase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01395	NODE_29_length_19754_cov_9.27773	18546	19694	1149	-1	No	0	3.5.1.32	"Hippurate hydrolase."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B"
metaerg.pl|01398	NODE_30_length_19182_cov_87.105	1217	1687	471	-1	No	0	2.4.2.6	"Nucleoside deoxyribosyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus pasteurii"
metaerg.pl|01403	NODE_30_length_19182_cov_87.105	4481	5116	636	-1	No	0	2.7.1.21	"Thymidine kinase."	"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000424265"
metaerg.pl|01418	NODE_30_length_19182_cov_87.105	14313	14960	648	-1	No	0	2.7.1.113	"Deoxyguanosine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus hominis"
