#Accession	ID	Description	Count	Count_pct
PF16080	Phage_holin_2_3	"Bacteriophage holin family HP1"	3	0.02
PF00070	Pyr_redox	"Pyridine nucleotide-disulphide oxidoreductase"	9	0.05
PF00295	Glyco_hydro_28	"Glycosyl hydrolases family 28"	1	0.01
PF01026	TatD_DNase	"TatD related DNase"	2	0.01
PF01261	AP_endonuc_2	"Xylose isomerase-like TIM barrel"	2	0.01
PF07991	IlvN	"Acetohydroxy acid isomeroreductase, NADPH-binding domain"	6	0.03
PF06177	QueT	"QueT transporter"	2	0.01
PF01936	NYN	"NYN domain"	3	0.02
PF04539	Sigma70_r3	"Sigma-70 region 3"	1	0.01
PF00587	tRNA-synt_2b	"tRNA synthetase class II core domain (G, H, P, S and T)"	6	0.03
PF00216	Bac_DNA_binding	"Bacterial DNA-binding protein"	10	0.05
PF04381	RdgC	"Putative exonuclease, RdgC"	11	0.06
PF03486	HI0933_like	"HI0933-like protein"	6	0.03
PF00926	DHBP_synthase	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	1	0.01
PF04607	RelA_SpoT	"Region found in RelA / SpoT proteins"	4	0.02
PF04376	ATE_N	"Arginine-tRNA-protein transferase, N terminus"	2	0.01
PF01641	SelR	"SelR domain"	4	0.02
PF12844	HTH_19	"Helix-turn-helix domain"	60	0.33
PF01557	FAA_hydrolase	"Fumarylacetoacetate (FAA) hydrolase family"	4	0.02
PF13542	HTH_Tnp_ISL3	"Helix-turn-helix domain of transposase family ISL3"	1	0.01
PF10150	RNase_E_G	"Ribonuclease E/G family"	2	0.01
PF04343	DUF488	"Protein of unknown function, DUF488"	2	0.01
PF13437	HlyD_3	"HlyD family secretion protein"	4	0.02
PF13439	Glyco_transf_4	"Glycosyltransferase Family 4"	1	0.01
PF11450	DUF3008	"Protein of unknwon function (DUF3008)"	1	0.01
PF10828	DUF2570	"Protein of unknown function (DUF2570)"	1	0.01
PF00238	Ribosomal_L14	"Ribosomal protein L14p/L23e"	1	0.01
PF00398	RrnaAD	"Ribosomal RNA adenine dimethylase"	5	0.03
PF13392	HNH_3	"HNH endonuclease"	12	0.07
PF00699	Urease_beta	"Urease beta subunit"	1	0.01
PF04952	AstE_AspA	"Succinylglutamate desuccinylase / Aspartoacylase family"	1	0.01
PF00572	Ribosomal_L13	"Ribosomal protein L13"	1	0.01
PF06742	DUF1214	"Protein of unknown function (DUF1214)"	1	0.01
PF10546	P63C	"P63C domain"	4	0.02
PF13593	SBF_like	"SBF-like CPA transporter family (DUF4137)"	3	0.02
PF02616	SMC_ScpA	"Segregation and condensation protein ScpA"	1	0.01
PF04166	PdxA	"Pyridoxal phosphate biosynthetic protein PdxA"	3	0.02
PF01835	MG2	"MG2 domain"	1	0.01
PF05099	TerB	"Tellurite resistance protein TerB"	3	0.02
PF18306	LDcluster4	"SLOG cluster4 family"	2	0.01
PF13986	DUF4224	"Domain of unknown function (DUF4224)"	5	0.03
PF13616	Rotamase_3	"PPIC-type PPIASE domain"	3	0.02
PF13709	DUF4159	"Domain of unknown function (DUF4159)"	2	0.01
PF00623	RNA_pol_Rpb1_2	"RNA polymerase Rpb1, domain 2"	2	0.01
PF10431	ClpB_D2-small	"C-terminal, D2-small domain, of ClpB protein"	9	0.05
PF09157	TruB-C_2	"Pseudouridine synthase II TruB, C-terminal"	1	0.01
PF13906	AA_permease_C	"C-terminus of AA_permease"	1	0.01
PF00871	Acetate_kinase	"Acetokinase family"	5	0.03
PF09489	CbtB	"Probable cobalt transporter subunit (CbtB)"	1	0.01
PF17657	DNA_pol3_finger	"Bacterial DNA polymerase III alpha subunit finger domain"	6	0.03
PF08400	phage_tail_N	"Prophage tail fibre N-terminal"	10	0.05
PF10618	Tail_tube	"Phage tail tube protein"	6	0.03
PF10963	Phage_TAC_10	"Phage tail assembly chaperone"	3	0.02
PF02630	SCO1-SenC	"SCO1/SenC"	1	0.01
PF04389	Peptidase_M28	"Peptidase family M28"	1	0.01
PF06133	Com_YlbF	"Control of competence regulator ComK, YlbF/YmcA"	1	0.01
PF00861	Ribosomal_L18p	"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast"	1	0.01
PF01209	Ubie_methyltran	"ubiE/COQ5 methyltransferase family"	6	0.03
PF00145	DNA_methylase	"C-5 cytosine-specific DNA methylase"	27	0.15
PF03746	LamB_YcsF	"LamB/YcsF family"	2	0.01
PF13495	Phage_int_SAM_4	"Phage integrase, N-terminal SAM-like domain"	3	0.02
PF01011	PQQ	"PQQ enzyme repeat"	1	0.01
PF16747	Adhesin_E	"Surface-adhesin protein E"	1	0.01
PF12236	Head-tail_con	"Bacteriophage head to tail connecting protein"	10	0.05
PF02911	Formyl_trans_C	"Formyl transferase, C-terminal domain"	1	0.01
PF13276	HTH_21	"HTH-like domain"	5	0.03
PF17876	CSD2	"Cold shock domain"	3	0.02
PF01323	DSBA	"DSBA-like thioredoxin domain"	1	0.01
PF03882	KicB	"MukF winged-helix domain"	1	0.01
PF17101	Stealth_CR1	"Stealth protein CR1, conserved region 1"	1	0.01
PF08206	OB_RNB	"Ribonuclease B OB domain"	4	0.02
PF05936	T6SS_VasE	"Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE"	1	0.01
PF06068	TIP49	"TIP49 P-loop domain"	1	0.01
PF00519	PPV_E1_C	"Papillomavirus helicase"	1	0.01
PF08862	DUF1829	"Domain of unknown function DUF1829"	1	0.01
PF12800	Fer4_4	"4Fe-4S binding domain"	1	0.01
PF09439	SRPRB	"Signal recognition particle receptor beta subunit"	1	0.01
PF13343	SBP_bac_6	"Bacterial extracellular solute-binding protein"	1	0.01
PF01218	Coprogen_oxidas	"Coproporphyrinogen III oxidase"	2	0.01
PF11672	DUF3268	"zinc-finger-containing domain"	3	0.02
PF05036	SPOR	"Sporulation related domain"	1	0.01
PF13365	Trypsin_2	"Trypsin-like peptidase domain"	3	0.02
PF13401	AAA_22	"AAA domain"	9	0.05
PF01121	CoaE	"Dephospho-CoA kinase"	3	0.02
PF13249	SQHop_cyclase_N	"Squalene-hopene cyclase N-terminal domain"	1	0.01
PF08886	GshA	"Glutamate-cysteine ligase"	1	0.01
PF18073	Rubredoxin_2	"Rubredoxin metal binding domain"	1	0.01
PF02801	Ketoacyl-synt_C	"Beta-ketoacyl synthase, C-terminal domain"	4	0.02
PF01264	Chorismate_synt	"Chorismate synthase"	4	0.02
PF02219	MTHFR	"Methylenetetrahydrofolate reductase"	2	0.01
PF00742	Homoserine_dh	"Homoserine dehydrogenase"	2	0.01
PF05697	Trigger_N	"Bacterial trigger factor protein (TF)"	1	0.01
PF00278	Orn_DAP_Arg_deC	"Pyridoxal-dependent decarboxylase, C-terminal sheet domain"	1	0.01
PF08021	FAD_binding_9	"Siderophore-interacting FAD-binding domain"	1	0.01
PF07756	DUF1612	"Protein of unknown function (DUF1612)"	1	0.01
PF02129	Peptidase_S15	"X-Pro dipeptidyl-peptidase (S15 family)"	2	0.01
PF09648	YycI	"YycH protein"	1	0.01
PF01888	CbiD	"CbiD"	1	0.01
PF01196	Ribosomal_L17	"Ribosomal protein L17"	2	0.01
PF01144	CoA_trans	"Coenzyme A transferase"	5	0.03
PF10139	Virul_Fac	"Putative bacterial virulence factor"	1	0.01
PF02475	Met_10	"Met-10+ like-protein"	3	0.02
PF00999	Na_H_Exchanger	"Sodium/hydrogen exchanger family"	8	0.04
PF00709	Adenylsucc_synt	"Adenylosuccinate synthetase"	3	0.02
PF07102	DUF1364	"Protein of unknown function (DUF1364)"	6	0.03
PF03734	YkuD	"L,D-transpeptidase catalytic domain"	8	0.04
PF00529	HlyD	"HlyD membrane-fusion protein of T1SS"	1	0.01
PF02568	ThiI	"Thiamine biosynthesis protein (ThiI)"	1	0.01
PF12698	ABC2_membrane_3	"ABC-2 family transporter protein"	4	0.02
PF01578	Cytochrom_C_asm	"Cytochrome C assembly protein"	1	0.01
PF07685	GATase_3	"CobB/CobQ-like glutamine amidotransferase domain"	2	0.01
PF00550	PP-binding	"Phosphopantetheine attachment site"	5	0.03
PF02769	AIRS_C	"AIR synthase related protein, C-terminal domain"	2	0.01
PF10571	UPF0547	"Uncharacterised protein family UPF0547"	1	0.01
PF00270	DEAD	"DEAD/DEAH box helicase"	14	0.08
PF17363	DUF5388	"Family of unknown function (DUF5388)"	13	0.07
PF00368	HMG-CoA_red	"Hydroxymethylglutaryl-coenzyme A reductase"	1	0.01
PF02652	Lactate_perm	"L-lactate permease"	3	0.02
PF14549	P22_Cro	"DNA-binding transcriptional regulator Cro"	9	0.05
PF05015	HigB-like_toxin	"RelE-like toxin of type II toxin-antitoxin system HigB"	1	0.01
PF03460	NIR_SIR_ferr	"Nitrite/Sulfite reductase ferredoxin-like half domain"	2	0.01
PF04423	Rad50_zn_hook	"Rad50 zinc hook motif"	3	0.02
PF00215	OMPdecase	"Orotidine 5'-phosphate decarboxylase / HUMPS family"	2	0.01
PF05772	NinB	"NinB protein"	9	0.05
PF03609	EII-Sor	"PTS system sorbose-specific iic component"	3	0.02
PF13454	NAD_binding_9	"FAD-NAD(P)-binding"	1	0.01
PF03968	OstA	"OstA-like protein"	3	0.02
PF08667	BetR	"BetR domain"	1	0.01
PF07110	EthD	"EthD domain"	1	0.01
PF01292	Ni_hydr_CYTB	"Prokaryotic cytochrome b561"	2	0.01
PF04314	PCuAC	"Copper chaperone PCu(A)C"	3	0.02
PF04545	Sigma70_r4	"Sigma-70, region 4"	4	0.02
PF13184	KH_5	"NusA-like KH domain"	1	0.01
PF05362	Lon_C	"Lon protease (S16) C-terminal proteolytic domain"	3	0.02
PF16173	DUF4874	"Domain of unknown function (DUF4874)"	1	0.01
PF17176	tRNA_bind_3	"tRNA-binding domain"	1	0.01
PF07358	DUF1482	"Protein of unknown function (DUF1482)"	1	0.01
PF02033	RBFA	"Ribosome-binding factor A"	1	0.01
PF04551	GcpE	"GcpE protein"	5	0.03
PF04403	PqiA	"Paraquat-inducible protein A"	1	0.01
PF01935	DUF87	"Helicase HerA, central domain"	1	0.01
PF18849	baeRF_family7	"Bacterial archaeo-eukaryotic release factor family 7"	1	0.01
PF04413	Glycos_transf_N	"3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)"	2	0.01
PF01051	Rep_3	"Initiator Replication protein"	4	0.02
PF03976	PPK2	"Polyphosphate kinase 2 (PPK2)"	1	0.01
PF01311	Bac_export_1	"Bacterial export proteins, family 1"	3	0.02
PF03364	Polyketide_cyc	"Polyketide cyclase / dehydrase and lipid transport"	1	0.01
PF04349	MdoG	"Periplasmic glucan biosynthesis protein, MdoG"	2	0.01
PF06832	BiPBP_C	"Penicillin-Binding Protein C-terminus Family"	1	0.01
PF13163	DUF3999	"Protein of unknown function (DUF3999)"	1	0.01
PF00614	PLDc	"Phospholipase D Active site motif"	6	0.03
PF09989	DUF2229	"CoA enzyme activase uncharacterised domain (DUF2229)"	2	0.01
PF03120	DNA_ligase_OB	"NAD-dependent DNA ligase OB-fold domain"	2	0.01
PF03837	RecT	"RecT family"	12	0.07
PF08241	Methyltransf_11	"Methyltransferase domain"	21	0.12
PF06414	Zeta_toxin	"Zeta toxin"	3	0.02
PF05698	Trigger_C	"Bacterial trigger factor protein (TF) C-terminus"	4	0.02
PF06155	DUF971	"Protein of unknown function (DUF971)"	1	0.01
PF00497	SBP_bac_3	"Bacterial extracellular solute-binding proteins, family 3"	23	0.13
PF17264	DUF5330	"Family of unknown function (DUF5330)"	1	0.01
PF13250	DUF4041	"Domain of unknown function (DUF4041)"	1	0.01
PF02834	LigT_PEase	"LigT like Phosphoesterase"	2	0.01
PF05221	AdoHcyase	"S-adenosyl-L-homocysteine hydrolase"	1	0.01
PF14691	Fer4_20	"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster"	4	0.02
PF13098	Thioredoxin_2	"Thioredoxin-like domain"	1	0.01
PF00844	Gemini_coat	"Geminivirus coat protein/nuclear export factor BR1 family"	6	0.03
PF07362	CcdA	"Post-segregation antitoxin CcdA"	1	0.01
PF02514	CobN-Mg_chel	"CobN/Magnesium Chelatase"	2	0.01
PF14700	RPOL_N	"DNA-directed RNA polymerase N-terminal"	2	0.01
PF13417	GST_N_3	"Glutathione S-transferase, N-terminal domain"	3	0.02
PF13749	HATPase_c_4	"Putative ATP-dependent DNA helicase recG C-terminal"	2	0.01
PF12528	T2SSppdC	"Type II secretion prepilin peptidase dependent protein C"	1	0.01
PF06761	IcmF-related	"Intracellular multiplication and human macrophage-killing"	1	0.01
PF01966	HD	"HD domain"	6	0.03
PF00430	ATP-synt_B	"ATP synthase B/B' CF(0)"	2	0.01
PF18404	Glyco_transf_24	"Glucosyltransferase 24"	1	0.01
PF01751	Toprim	"Toprim domain"	8	0.04
PF13155	Toprim_2	"Toprim-like"	5	0.03
PF02734	Dak2	"DAK2 domain"	2	0.01
PF00206	Lyase_1	"Lyase"	6	0.03
PF07126	ZapC	"Cell-division protein ZapC"	2	0.01
PF11363	DUF3164	"Protein of unknown function (DUF3164)"	3	0.02
PF00815	Histidinol_dh	"Histidinol dehydrogenase"	3	0.02
PF00034	Cytochrom_C	"Cytochrome c"	2	0.01
PF13412	HTH_24	"Winged helix-turn-helix DNA-binding"	13	0.07
PF15731	MqsA_antitoxin	"Antitoxin component of bacterial toxin-antitoxin system, MqsA"	1	0.01
PF01409	tRNA-synt_2d	"tRNA synthetases class II core domain (F)"	4	0.02
PF01389	OmpA_membrane	"OmpA-like transmembrane domain"	9	0.05
PF02601	Exonuc_VII_L	"Exonuclease VII, large subunit"	3	0.02
PF12421	DUF3672	"Fibronectin type III protein"	12	0.07
PF03428	RP-C	"Replication protein C N-terminal domain"	2	0.01
PF06041	DUF924	"Bacterial protein of unknown function (DUF924)"	2	0.01
PF02836	Glyco_hydro_2_C	"Glycosyl hydrolases family 2, TIM barrel domain"	2	0.01
PF02575	YbaB_DNA_bd	"YbaB/EbfC DNA-binding family"	1	0.01
PF04107	GCS2	"Glutamate-cysteine ligase family 2(GCS2)"	3	0.02
PF03799	FtsQ	"Cell division protein FtsQ"	1	0.01
PF02913	FAD-oxidase_C	"FAD linked oxidases, C-terminal domain"	8	0.04
PF09297	zf-NADH-PPase	"NADH pyrophosphatase zinc ribbon domain"	1	0.01
PF05017	TMP	"TMP repeat"	1	0.01
PF00158	Sigma54_activat	"Sigma-54 interaction domain"	10	0.05
PF10263	SprT-like	"SprT-like family"	1	0.01
PF13411	MerR_1	"MerR HTH family regulatory protein"	5	0.03
PF07090	GATase1_like	"Putative glutamine amidotransferase"	1	0.01
PF05930	Phage_AlpA	"Prophage CP4-57 regulatory protein (AlpA)"	8	0.04
PF01769	MgtE	"Divalent cation transporter"	1	0.01
PF00657	Lipase_GDSL	"GDSL-like Lipase/Acylhydrolase"	4	0.02
PF00494	SQS_PSY	"Squalene/phytoene synthase"	1	0.01
PF13840	ACT_7	"ACT domain"	1	0.01
PF01081	Aldolase	"KDPG and KHG aldolase"	1	0.01
PF03840	SecG	"Preprotein translocase SecG subunit"	1	0.01
PF00288	GHMP_kinases_N	"GHMP kinases N terminal domain"	1	0.01
PF00475	IGPD	"Imidazoleglycerol-phosphate dehydratase"	3	0.02
PF09134	Invasin_D3	"Invasin, domain 3"	1	0.01
PF07733	DNA_pol3_alpha	"Bacterial DNA polymerase III alpha NTPase domain"	6	0.03
PF06689	zf-C4_ClpX	"ClpX C4-type zinc finger"	2	0.01
PF17674	HHH_9	"HHH domain"	2	0.01
PF01695	IstB_IS21	"IstB-like ATP binding protein"	14	0.08
PF00543	P-II	"Nitrogen regulatory protein P-II"	2	0.01
PF03542	Tuberin	"Tuberin"	1	0.01
PF13517	VCBS	"Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella"	3	0.02
PF05188	MutS_II	"MutS domain II"	2	0.01
PF00282	Pyridoxal_deC	"Pyridoxal-dependent decarboxylase conserved domain"	1	0.01
PF13262	DUF4054	"Protein of unknown function (DUF4054)"	8	0.04
PF17827	PrmC_N	"PrmC N-terminal domain"	1	0.01
PF10101	DUF2339	"Predicted membrane protein (DUF2339)"	1	0.01
PF16653	Sacchrp_dh_C	"Saccharopine dehydrogenase C-terminal domain"	2	0.01
PF13637	Ank_4	"Ankyrin repeats (many copies)"	1	0.01
PF00156	Pribosyltran	"Phosphoribosyl transferase domain"	4	0.02
PF06745	ATPase	"KaiC"	4	0.02
PF03702	AnmK	"Anhydro-N-acetylmuramic acid kinase"	1	0.01
PF05164	ZapA	"Cell division protein ZapA"	1	0.01
PF07578	LAB_N	"Lipid A Biosynthesis N-terminal domain"	1	0.01
PF12696	TraG-D_C	"TraM recognition site of TraD and TraG"	2	0.01
PF18668	Tail_spike_N	"Tail spike TSP1/Gp66 receptor binding N-terminal domain"	3	0.02
PF03972	MmgE_PrpD	"MmgE/PrpD family"	1	0.01
PF02311	AraC_binding	"AraC-like ligand binding domain"	5	0.03
PF06888	Put_Phosphatase	"Putative Phosphatase"	2	0.01
PF13438	DUF4113	"Domain of unknown function (DUF4113)"	1	0.01
PF10106	DUF2345	"Uncharacterized protein conserved in bacteria (DUF2345)"	1	0.01
PF06356	DUF1064	"Protein of unknown function (DUF1064)"	2	0.01
PF13884	Peptidase_S74	"Chaperone of endosialidase"	6	0.03
PF03592	Terminase_2	"Terminase small subunit"	16	0.09
PF03816	LytR_cpsA_psr	"Cell envelope-related transcriptional attenuator domain"	1	0.01
PF13302	Acetyltransf_3	"Acetyltransferase (GNAT) domain"	8	0.04
PF03033	Glyco_transf_28	"Glycosyltransferase family 28 N-terminal domain"	3	0.02
PF03869	Arc	"Arc-like DNA binding domain"	14	0.08
PF02452	PemK_toxin	"PemK-like, MazF-like toxin of type II toxin-antitoxin system"	1	0.01
PF13545	HTH_Crp_2	"Crp-like helix-turn-helix domain"	2	0.01
PF13555	AAA_29	"P-loop containing region of AAA domain"	7	0.04
PF08546	ApbA_C	"Ketopantoate reductase PanE/ApbA C terminal"	1	0.01
PF13580	SIS_2	"SIS domain"	1	0.01
PF01193	RNA_pol_L	"RNA polymerase Rpb3/Rpb11 dimerisation domain"	2	0.01
PF00252	Ribosomal_L16	"Ribosomal protein L16p/L10e"	1	0.01
PF00873	ACR_tran	"AcrB/AcrD/AcrF family"	21	0.12
PF08282	Hydrolase_3	"haloacid dehalogenase-like hydrolase"	7	0.04
PF14849	YidC_periplas	"YidC periplasmic domain"	1	0.01
PF11798	IMS_HHH	"IMS family HHH motif"	3	0.02
PF00909	Ammonium_transp	"Ammonium Transporter Family"	1	0.01
PF07963	N_methyl	"Prokaryotic N-terminal methylation motif"	2	0.01
PF05195	AMP_N	"Aminopeptidase P, N-terminal domain"	1	0.01
PF03590	AsnA	"Aspartate-ammonia ligase"	2	0.01
PF11236	DUF3037	"Protein of unknown function (DUF3037)"	5	0.03
PF00912	Transgly	"Transglycosylase"	7	0.04
PF04275	P-mevalo_kinase	"Phosphomevalonate kinase"	1	0.01
PF08719	DUF1768	"Domain of unknown function (DUF1768)"	3	0.02
PF02811	PHP	"PHP domain"	6	0.03
PF18299	R2K_2	"ATP-grasp domain, R2K clade family 2"	1	0.01
PF00939	Na_sulph_symp	"Sodium:sulfate symporter transmembrane region"	10	0.05
PF03764	EFG_IV	"Elongation factor G, domain IV"	3	0.02
PF13641	Glyco_tranf_2_3	"Glycosyltransferase like family 2"	7	0.04
PF00578	AhpC-TSA	"AhpC/TSA family"	12	0.07
PF10983	DUF2793	"Protein of unknown function (DUF2793)"	8	0.04
PF09186	DUF1949	"Domain of unknown function (DUF1949)"	2	0.01
PF02391	MoaE	"MoaE protein"	1	0.01
PF05595	DUF771	"Domain of unknown function (DUF771)"	7	0.04
PF06996	T6SS_TssG	"Type VI secretion, TssG"	2	0.01
PF07007	LprI	"Lysozyme inhibitor LprI"	1	0.01
PF00035	dsrm	"Double-stranded RNA binding motif"	1	0.01
PF02482	Ribosomal_S30AE	"Sigma 54 modulation protein / S30EA ribosomal protein"	3	0.02
PF04985	Phage_tube	"Phage tail tube protein FII"	9	0.05
