#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	sprot_id	sprot_desc	Taxonomy
metaerg.pl|00582	NODE_5_length_43281_cov_58.8939	29926	31812	1887	-1	No	0	sp|O64299|EXO2_BPR69	"Exonuclease subunit 2"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00589	NODE_5_length_43281_cov_58.8939	41332	41865	534	-1	No	0	sp|P85227|BP40_BPPHE	"Virion protein 3"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Kayvirus;s__Staphylococcus virus K;
metaerg.pl|00594	NODE_6_length_42627_cov_91.3508	1471	3222	1752	1	No	0	sp|A8E264|PORTL_BPPHE	"Probable portal protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00597	NODE_6_length_42627_cov_91.3508	5278	6852	1575	1	No	0	sp|Q6Y7S3|CAPSD_BPPGK	"Major capsid protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Twortvirus;s__Staphylococcus virus Twort;
metaerg.pl|00604	NODE_6_length_42627_cov_91.3508	11001	12764	1764	1	No	0	sp|P85225|VPN1_BPPHE	"Putative tail sheath protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00605	NODE_6_length_42627_cov_91.3508	12782	13237	456	1	No	0	sp|P85229|VPN5_BPPHE	"Virion protein 5"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00610	NODE_6_length_42627_cov_91.3508	20289	22880	2592	1	No	0	sp|A8E283|VPN7_BPPHE	"Tail fiber protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00623	NODE_6_length_42627_cov_91.3508	38102	38635	534	1	No	0	sp|P85227|BP40_BPPHE	"Virion protein 3"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00639	NODE_7_length_42270_cov_19.0982	6361	6852	492	1	No	0	sp|Q9K5N9|SSB_BACHD	"Single-stranded DNA-binding protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus ultunensis
metaerg.pl|00759	NODE_9_length_38080_cov_24.5071	10632	12131	1500	1	No	0	sp|P79678|TSP_BPMU	"Tail sheath protein"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium sp002848345
metaerg.pl|00767	NODE_9_length_38080_cov_24.5071	18471	19601	1131	1	No	0	sp|P08558|BP44_BPMU	"Baseplate hub protein gp44"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium sp002213445
metaerg.pl|00770	NODE_9_length_38080_cov_24.5071	20546	21643	1098	1	No	0	sp|Q9T1V2|BP47_BPMU	"Baseplate protein gp47"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Pseudogulbenkiania;s__Pseudogulbenkiania sp000527175
metaerg.pl|00771	NODE_9_length_38080_cov_24.5071	21631	22209	579	1	No	0	sp|P75982|YMFQ_ECOLI	"hypothetical protein"	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__BM506;s__BM506 sp002868945
metaerg.pl|00790	NODE_9_length_38080_cov_24.5071	35181	36017	837	1	No	0	sp|P44243|Y1523_HAEIN	"hypothetical protein"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Alysiella;s__Alysiella crassa
metaerg.pl|00791	NODE_9_length_38080_cov_24.5071	36611	37612	1002	1	No	0	sp|P46352|XERD_BACSU	"Tyrosine recombinase XerD"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Pseudogulbenkiania;s__Pseudogulbenkiania ferrooxidans
metaerg.pl|00802	NODE_10_length_31793_cov_12.5032	6225	6869	645	-1	No	0	sp|P0C1G0|DGK2_LACAC	"Deoxyguanosine kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
metaerg.pl|00803	NODE_10_length_31793_cov_12.5032	6873	7583	711	-1	No	0	sp|P0C1F9|DGK1_LACAC	"Deoxyadenosine kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
metaerg.pl|00807	NODE_10_length_31793_cov_12.5032	10527	12260	1734	1	No	0	sp|A8E264|PORTL_BPPHE	"Probable portal protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00810	NODE_10_length_31793_cov_12.5032	14244	15830	1587	1	No	0	sp|Q6Y7S3|CAPSD_BPPGK	"Major capsid protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00817	NODE_10_length_31793_cov_12.5032	19975	21729	1755	1	No	0	sp|P85225|VPN1_BPPHE	"Putative tail sheath protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00818	NODE_10_length_31793_cov_12.5032	21744	22196	453	1	No	0	sp|P85229|VPN5_BPPHE	"Virion protein 5"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00823	NODE_10_length_31793_cov_12.5032	29639	31792	2154	1	No	0	sp|A8E283|VPN7_BPPHE	"Tail fiber protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00861	NODE_12_length_30597_cov_11.657	1	1023	1023	1	No	0	sp|P03763|TARGB_BPMU	"ATP-dependent target DNA activator B"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tribocorum_B
metaerg.pl|00883	NODE_12_length_30597_cov_11.657	13137	13634	498	1	No	0	sp|Q01261|GPG_BPMU	"Putative capsid assembly protein G"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Amorphaceae;g__Amorphus;s__Amorphus coralli
metaerg.pl|00886	NODE_12_length_30597_cov_11.657	15109	15999	891	1	No	0	sp|Q9T1W1|CAPSD_BPMU	"Major capsid protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aquamicrobium;s__Aquamicrobium sp001303895
metaerg.pl|00896	NODE_12_length_30597_cov_11.657	23762	25024	1263	1	No	0	sp|P08558|BP44_BPMU	"Baseplate hub protein gp44"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A pseudogrignonense
metaerg.pl|00900	NODE_12_length_30597_cov_11.657	27277	27879	603	1	No	0	sp|P75982|YMFQ_ECOLI	"hypothetical protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A pseudogrignonense
metaerg.pl|00909	NODE_13_length_29836_cov_11.4496	4201	5439	1239	1	No	0	sp|Q9T1P7|VP51_BPAPS	"Putative protein p51"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella mensalis
metaerg.pl|00910	NODE_13_length_29836_cov_11.4496	5442	6023	582	1	No	0	sp|Q9T1P8|VP50_BPAPS	"Putative protein p50"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_E
metaerg.pl|00912	NODE_13_length_29836_cov_11.4496	6397	8499	2103	1	No	0	sp|Q9T1Q3|DPOL_BPAPS	"Probable DNA polymerase"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_E
metaerg.pl|00916	NODE_13_length_29836_cov_11.4496	9195	9464	270	1	No	0	sp|Q9T1Q4|VP44_BPAPS	"Putative nuclease p44"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_E
metaerg.pl|00917	NODE_13_length_29836_cov_11.4496	9457	10839	1383	1	No	0	sp|Q9T1Q7|VP41_BPAPS	"Putative protein p41"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella mensalis
metaerg.pl|00918	NODE_13_length_29836_cov_11.4496	10843	11916	1074	1	No	0	sp|P19888|MTBA_ANEAE	"Modification methylase BanI"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella bombi
metaerg.pl|00921	NODE_13_length_29836_cov_11.4496	12913	14085	1173	-1	No	0	sp|P37317|VINT_BPSFV	"Integrase"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola_Q
metaerg.pl|00924	NODE_13_length_29836_cov_11.4496	17394	17915	522	-1	No	0	sp|Q37875|ENLYS_BPP1	"SAR-endolysin"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp002142215
metaerg.pl|00936	NODE_14_length_29130_cov_105.403	3446	4132	687	-1	No	0	sp|A9ILE9|GRPE_BART1	"hypothetical protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00937	NODE_14_length_29130_cov_105.403	4284	5237	954	-1	No	0	sp|P73660|HEM3_SYNY3	"Porphobilinogen deaminase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00938	NODE_14_length_29130_cov_105.403	5483	6250	768	-1	No	0	sp|Q9K9G6|THIX_BACHD	"Formylaminopyrimidine transport permease protein ThiX"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00939	NODE_14_length_29130_cov_105.403	6318	7100	783	-1	No	0	sp|Q81C68|SSUB_BACCR	"Aliphatic sulfonates import ATP-binding protein SsuB"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00941	NODE_14_length_29130_cov_105.403	8365	9435	1071	-1	No	0	sp|Q6G1E5|HRCA_BARQU	"Heat-inducible transcription repressor HrcA"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00942	NODE_14_length_29130_cov_105.403	9542	10261	720	1	No	0	sp|B2S8G4|RNPH_BRUA1	"Ribonuclease PH"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00943	NODE_14_length_29130_cov_105.403	10273	10920	648	1	No	0	sp|P64305|IXTPA_BRUME	"dITP/XTP pyrophosphatase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00944	NODE_14_length_29130_cov_105.403	10917	12080	1164	1	No	0	sp|A5D7B1|RSAD1_BOVIN	"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00945	NODE_14_length_29130_cov_105.403	12649	13632	984	1	No	0	sp|Q3ACP3|KDGT_CARHZ	"2-keto-3-deoxygluconate permease"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00946	NODE_14_length_29130_cov_105.403	13649	14902	1254	1	No	0	sp|Q0K4F6|DTNK_CUPNH	"D-threonate kinase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00947	NODE_14_length_29130_cov_105.403	14902	15894	993	1	No	0	sp|Q0K4F5|PDXA2_CUPNH	"D-threonate 4-phosphate dehydrogenase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00948	NODE_14_length_29130_cov_105.403	16098	16883	786	1	No	0	sp|P15082|SRLR_ECOLI	"Glucitol operon repressor"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00949	NODE_14_length_29130_cov_105.403	17502	18920	1419	1	No	0	sp|Q3J4E6|PCCR_RHOS4	"Propionyl-CoA carboxylase regulator"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00950	NODE_14_length_29130_cov_105.403	19061	20056	996	-1	No	0	sp|Q84M96|ALKR2_ARATH	"Probable aldo-keto reductase 2"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00951	NODE_14_length_29130_cov_105.403	20123	21112	990	-1	No	0	sp|Q84M96|ALKR2_ARATH	"Probable aldo-keto reductase 2"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_A
metaerg.pl|00952	NODE_14_length_29130_cov_105.403	21237	22127	891	1	No	0	sp|P75836|YCAN_ECOLI	"Uncharacterized HTH-type transcriptional regulator YcaN"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis
metaerg.pl|00953	NODE_14_length_29130_cov_105.403	22579	23499	921	1	No	0	sp|Q98D76|ARGB_RHILO	"Acetylglutamate kinase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00957	NODE_14_length_29130_cov_105.403	25414	27219	1806	1	No	0	sp|Q6G550|LEPA_BARHE	"Elongation factor 4"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00958	NODE_14_length_29130_cov_105.403	27974	28822	849	-1	No	0	sp|Q8UIC6|DAPD_AGRFC	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella apis_B
metaerg.pl|00962	NODE_15_length_26706_cov_26.1813	935	1573	639	-1	No	0	sp|P55394|TRAI_SINFN	"Probable acyl-homoserine-lactone synthase"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella tamiae
metaerg.pl|00963	NODE_15_length_26706_cov_26.1813	1762	1977	216	1	No	0	sp|P86491|6HN3M_PSEFL	"6-hydroxynicotinate 3-monooxygenase"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia sp002843235
