#KO	Name	Definition	Count	Count_pct
K02224	cobB-cbiA	"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	2	0.01
K06901	pbuG	"putative MFS transporter, AGZA family, xanthine/uracil permease"	1	0.01
K03168	topA	"DNA topoisomerase I [EC:5.6.2.1]"	10	0.05
K02768	PTS-Fru-EIIA, fruB	"PTS system, fructose-specific IIA component [EC:2.7.1.202]"	29	0.16
K14977	ylbA, UGHY	"(S)-ureidoglycine aminohydrolase [EC:3.5.3.26]"	3	0.02
K09815	znuA	"zinc transport system substrate-binding protein"	1	0.01
K11520	manS	"two-component system, OmpR family, manganese sensing sensor histidine kinase [EC:2.7.13.3]"	13	0.07
K01897	ACSL, fadD	"long-chain acyl-CoA synthetase [EC:6.2.1.3]"	15	0.08
K07768	senX3	"two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]"	46	0.25
K03499	trkA, ktrA	"trk system potassium uptake protein"	5	0.03
K03399	cbiE	"cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]"	1	0.01
K02948	RP-S11, MRPS11, rpsK	"small subunit ribosomal protein S11"	1	0.01
K00014	aroE	"shikimate dehydrogenase [EC:1.1.1.25]"	6	0.03
K03791	K03791	"putative chitinase"	1	0.01
K05591	dbpA	"ATP-independent RNA helicase DbpA [EC:3.6.4.13]"	13	0.07
K15738	uup	"ABC transport system ATP-binding/permease protein"	1	0.01
K01485	codA	"cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]"	2	0.01
K21147	moeZR, moeBR	"sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]"	1	0.01
K02126	ATPeF0A, MTATP6, ATP6	"F-type H+-transporting ATPase subunit a"	1	0.01
K15721	fyuA	"pesticin/yersiniabactin receptor"	1	0.01
K03477	ulaR	"DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor"	1	0.01
K02051	ABC.SN.S	"NitT/TauT family transport system substrate-binding protein"	2	0.01
K05810	yfiH	"polyphenol oxidase [EC:1.10.3.-]"	2	0.01
K02429	fucP	"MFS transporter, FHS family, L-fucose permease"	1	0.01
K00826	E2.6.1.42, ilvE	"branched-chain amino acid aminotransferase [EC:2.6.1.42]"	3	0.02
K00245	frdB	"fumarate reductase iron-sulfur subunit [EC:1.3.5.4]"	3	0.02
K01649	leuA, IMS	"2-isopropylmalate synthase [EC:2.3.3.13]"	2	0.01
K03257	EIF4A	"translation initiation factor 4A"	2	0.01
K05788	ihfB, himD	"integration host factor subunit beta"	1	0.01
K18893	vcaM	"ATP-binding cassette, subfamily B, multidrug efflux pump"	7	0.04
K02476	K02476	"two-component system, CitB family, sensor kinase [EC:2.7.13.3]"	1	0.01
K01992	ABC-2.P	"ABC-2 type transport system permease protein"	3	0.02
K22025	denD	"D-erythronate 2-dehydrogenase [EC:1.1.1.410]"	1	0.01
K01495	GCH1, folE	"GTP cyclohydrolase IA [EC:3.5.4.16]"	1	0.01
K02071	metN	"D-methionine transport system ATP-binding protein"	57	0.31
K09472	puuC, aldH	"4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"	1	0.01
K02874	RP-L14, MRPL14, rplN	"large subunit ribosomal protein L14"	1	0.01
K09882	cobS	"cobaltochelatase CobS [EC:6.6.1.2]"	2	0.01
K01873	VARS, valS	"valyl-tRNA synthetase [EC:6.1.1.9]"	10	0.05
K02483	K02483	"two-component system, OmpR family, response regulator"	2	0.01
K01928	murE	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"	9	0.05
K00850	pfkA, PFK	"6-phosphofructokinase 1 [EC:2.7.1.11]"	2	0.01
K02519	infB, MTIF2	"translation initiation factor IF-2"	4	0.02
K18649	IMPL2	"inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]"	2	0.01
K00143	LYS2	"L-2-aminoadipate reductase [EC:1.2.1.95]"	18	0.10
K04092	tyrA1	"chorismate mutase [EC:5.4.99.5]"	1	0.01
K01492	purNH	"phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2.2 2.1.2.3]"	3	0.02
K06147	ABCB-BAC	"ATP-binding cassette, subfamily B, bacterial"	5	0.03
K03169	topB	"DNA topoisomerase III [EC:5.6.2.1]"	2	0.01
K00066	algD	"GDP-mannose 6-dehydrogenase [EC:1.1.1.132]"	1	0.01
K08479	sasA	"two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]"	32	0.18
K02355	fusA, GFM, EFG	"elongation factor G"	8	0.04
K19002	mgs, bgsB	"1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]"	2	0.01
K19353	eptC	"heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]"	3	0.02
K03804	mukE	"chromosome partition protein MukE"	1	0.01
K01175	ybfF	"esterase [EC:3.1.-.-]"	1	0.01
K07082	K07082	"UPF0755 protein"	2	0.01
K01092	E3.1.3.25, IMPA, suhB	"myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"	2	0.01
K05362	murE	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7]"	1	0.01
K00560	thyA, TYMS	"thymidylate synthase [EC:2.1.1.45]"	5	0.03
K03656	rep	"ATP-dependent DNA helicase Rep [EC:3.6.4.12]"	3	0.02
K01995	livG	"branched-chain amino acid transport system ATP-binding protein"	68	0.37
K13702	ABHD10	"abhydrolase domain-containing protein 10 [EC:3.1.1.93]"	2	0.01
K13713	purCD	"fusion protein PurCD [EC:6.3.2.6 6.3.4.13]"	1	0.01
K18199	inhA	"cyclohexyl-isocyanide hydratase [EC:4.2.1.103]"	1	0.01
K12556	pbp2X	"penicillin-binding protein 2X"	7	0.04
K01692	paaF, echA	"enoyl-CoA hydratase [EC:4.2.1.17]"	1	0.01
K22024	pdxA2	"4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase [EC:1.1.1.408 1.1.1.409]"	1	0.01
K00766	trpD	"anthranilate phosphoribosyltransferase [EC:2.4.2.18]"	3	0.02
K07676	rcsD	"two-component system, NarL family, sensor histidine kinase RcsD [EC:2.7.13.3]"	24	0.13
K07478	ycaJ	"putative ATPase"	4	0.02
K11203	PTS-Fru2-EIIC	"PTS system, fructose-specific IIC-like component"	14	0.08
K07668	vicR	"two-component system, OmpR family, response regulator VicR"	3	0.02
K01937	pyrG, CTPS	"CTP synthase [EC:6.3.4.2]"	8	0.04
K02764	PTS-Dgl-EIIB, gamP	"PTS system, D-glucosamine-specific IIB component [EC:2.7.1.-]"	12	0.07
K02427	rlmE, rrmJ, ftsJ	"23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"	1	0.01
K07769	nblS	"two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]"	27	0.15
K03332	fruA	"fructan beta-fructosidase [EC:3.2.1.80]"	4	0.02
K18471	ydjG	"methylglyoxal reductase [EC:1.1.1.-]"	1	0.01
K06023	hprK, ptsK	"HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]"	1	0.01
K22302	dicC	"transcriptional repressor of cell division inhibition gene dicB"	2	0.01
K06132	clsC	"cardiolipin synthase C [EC:2.7.8.-]"	2	0.01
K11071	potB	"spermidine/putrescine transport system permease protein"	1	0.01
K02781	PTS-Gut-EIIA, srlB	"PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]"	1	0.01
K12987	migA	"alpha-1,6-rhamnosyltransferase [EC:2.4.1.-]"	3	0.02
K00873	PK, pyk	"pyruvate kinase [EC:2.7.1.40]"	17	0.09
K07679	evgS, bvgS	"two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"	25	0.14
K01991	wza, gfcE	"polysaccharide biosynthesis/export protein"	1	0.01
K06178	rluB	"23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]"	2	0.01
K21465	pbpA	"penicillin-binding protein A"	1	0.01
K21929	udg	"uracil-DNA glycosylase [EC:3.2.2.27]"	1	0.01
K07655	prrB	"two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]"	3	0.02
K10542	mglA	"methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]"	1	0.01
K21528	gin	"serine recombinase [EC:3.1.22.- 6.5.1.-]"	1	0.01
K04752	glnK	"nitrogen regulatory protein P-II 2"	1	0.01
K01914	asnA	"aspartate--ammonia ligase [EC:6.3.1.1]"	2	0.01
K12500	tesC	"thioesterase III [EC:3.1.2.-]"	1	0.01
K10439	rbsB	"ribose transport system substrate-binding protein"	2	0.01
K02838	frr, MRRF, RRF	"ribosome recycling factor"	2	0.01
K08281	pncA	"nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]"	1	0.01
K12257	secDF	"SecD/SecF fusion protein"	7	0.04
K19611	fepA, pfeA, iroN, pirA	"ferric enterobactin receptor"	1	0.01
K03641	tolB	"TolB protein"	2	0.01
K00161	PDHA, pdhA	"pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"	1	0.01
K11178	yagS	"xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]"	1	0.01
K12732	ARO10	"phenylpyruvate decarboxylase [EC:4.1.1.-]"	2	0.01
K11103	dctA	"aerobic C4-dicarboxylate transport protein"	4	0.02
K00602	purH	"phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"	5	0.03
K07651	resE	"two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]"	42	0.23
K12858	DDX23, PRP28	"ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]"	5	0.03
K10017	hisP	"histidine transport system ATP-binding protein [EC:7.4.2.1]"	2	0.01
K01523	hisE	"phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]"	2	0.01
K10821		""	2	0.01
K16698	tuaG	"teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]"	1	0.01
K02864	RP-L10, MRPL10, rplJ	"large subunit ribosomal protein L10"	1	0.01
K01139	spoT	"GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"	14	0.08
K02109	ATPF0B, atpF	"F-type H+-transporting ATPase subunit b"	2	0.01
K00793	ribE, RIB5	"riboflavin synthase [EC:2.5.1.9]"	2	0.01
K03446	emrB	"MFS transporter, DHA2 family, multidrug resistance protein"	5	0.03
K07516	fadN	"3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]"	1	0.01
K00752	hasA	"hyaluronan synthase [EC:2.4.1.212]"	1	0.01
K05825	LYSN	"2-aminoadipate transaminase [EC:2.6.1.-]"	1	0.01
K01085	agp	"glucose-1-phosphatase [EC:3.1.3.10]"	1	0.01
K11443	divK	"two-component system, cell cycle response regulator DivK"	1	0.01
K03563	csrA	"carbon storage regulator"	3	0.02
K04691	hhoB, degS	"serine protease DegS [EC:3.4.21.-]"	1	0.01
K03553	recA	"recombination protein RecA"	4	0.02
K19300	aph3-II	"aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]"	2	0.01
K01011	TST, MPST, sseA	"thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"	5	0.03
K02419	fliP	"flagellar biosynthetic protein FliP"	1	0.01
K10000	artP	"arginine transport system ATP-binding protein [EC:7.4.2.1]"	4	0.02
K11188	PRDX6	"peroxiredoxin 6, 1-Cys peroxiredoxin [EC:1.11.1.7 1.11.1.15 3.1.1.-]"	4	0.02
K00901	dgkA, DGK	"diacylglycerol kinase (ATP) [EC:2.7.1.107]"	1	0.01
K02428	rdgB	"XTP/dITP diphosphohydrolase [EC:3.6.1.66]"	3	0.02
K08324	sad	"succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]"	1	0.01
K03313	nhaA	"Na+:H+ antiporter, NhaA family"	3	0.02
K03545	tig	"trigger factor"	6	0.03
K11634	yxdJ	"two-component system, OmpR family, response regulator YxdJ"	1	0.01
K07648	arcB	"two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"	36	0.20
K00004	BDH, butB	"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	2	0.01
K00925	ackA	"acetate kinase [EC:2.7.2.1]"	4	0.02
K02622	parE	"topoisomerase IV subunit B [EC:5.6.2.2]"	6	0.03
K02800	PTS-Mtl-EIIC, mtlA, cmtA	"PTS system, mannitol-specific IIC component"	3	0.02
K12256	spuC	"putrescine---pyruvate transaminase [EC:2.6.1.113]"	1	0.01
K01626	E2.5.1.54, aroF, aroG, aroH	"3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"	1	0.01
K00760	hprT, hpt, HPRT1	"hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"	5	0.03
K05838	ybbN	"putative thioredoxin"	2	0.01
K13693	gpgS	"glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]"	3	0.02
K01960	pycB	"pyruvate carboxylase subunit B [EC:6.4.1.1]"	10	0.05
K01733	thrC	"threonine synthase [EC:4.2.3.1]"	5	0.03
K00362	nirB	"nitrite reductase (NADH) large subunit [EC:1.7.1.15]"	2	0.01
K02763	PTS-Dgl-EIIA, gamP	"PTS system, D-glucosamine-specific IIA component [EC:2.7.1.-]"	12	0.07
K01972	E6.5.1.2, ligA, ligB	"DNA ligase (NAD+) [EC:6.5.1.2]"	10	0.05
K12297	rlmL, rlmK	"23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]"	1	0.01
K05816	ugpC	"sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]"	21	0.12
K18855	E1.1.1.374	"UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]"	2	0.01
K01142	E3.1.11.2, xthA	"exodeoxyribonuclease III [EC:3.1.11.2]"	1	0.01
K02793	PTS-Man-EIIA, manX	"PTS system, mannose-specific IIA component [EC:2.7.1.191]"	29	0.16
K06918	K06918	"uncharacterized protein"	1	0.01
K03002	RPA2, POLR1B	"DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]"	3	0.02
K11633	yxdK	"two-component system, OmpR family, sensor histidine kinase YxdK [EC:2.7.13.3]"	23	0.13
K00989	rph	"ribonuclease PH [EC:2.7.7.56]"	1	0.01
K04047	dps	"starvation-inducible DNA-binding protein"	2	0.01
K13510	LPCAT1_2	"lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]"	1	0.01
K03288	citA, tcuC	"MFS transporter, MHS family, citrate/tricarballylate:H+ symporter"	2	0.01
K02480	K02480	"two-component system, NarL family, sensor kinase [EC:2.7.13.3]"	37	0.20
K09769	K09769	"uncharacterized protein"	2	0.01
K07153	hflD	"high frequency lysogenization protein"	2	0.01
K01652	E2.2.1.6L, ilvB, ilvG, ilvI	"acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"	16	0.09
K00383	GSR, gor	"glutathione reductase (NADPH) [EC:1.8.1.7]"	8	0.04
K22474	adhB	"alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]"	1	0.01
K02916	RP-L35, MRPL35, rpmI	"large subunit ribosomal protein L35"	1	0.01
K01090	E3.1.3.16	"protein phosphatase [EC:3.1.3.16]"	2	0.01
K03427	hsdM	"type I restriction enzyme M protein [EC:2.1.1.72]"	2	0.01
K13587	cckA	"two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]"	13	0.07
K00765	hisG	"ATP phosphoribosyltransferase [EC:2.4.2.17]"	3	0.02
K03500	rsmB, sun	"16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]"	1	0.01
K01728	pel	"pectate lyase [EC:4.2.2.2]"	1	0.01
K07447	ruvX	"putative holliday junction resolvase [EC:3.1.-.-]"	3	0.02
K08852	ERN1	"serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]"	1	0.01
K08724	pbpB	"penicillin-binding protein 2B"	1	0.01
K16254	mxaJ	"mxaJ protein"	1	0.01
K03153	thiO	"glycine oxidase [EC:1.4.3.19]"	4	0.02
K02773	PTS-Gat-EIIA, gatA, sgcA	"PTS system, galactitol-specific IIA component [EC:2.7.1.200]"	3	0.02
K13588	chpT	"histidine phosphotransferase ChpT"	2	0.01
K02821	PTS-Ula-EIIA, ulaC, sgaA	"PTS system, ascorbate-specific IIA component [EC:2.7.1.194]"	16	0.09
K01804	araA	"L-arabinose isomerase [EC:5.3.1.4]"	3	0.02
K02064	thiB, tbpA	"thiamine transport system substrate-binding protein"	1	0.01
K03786	aroQ, qutE	"3-dehydroquinate dehydratase II [EC:4.2.1.10]"	2	0.01
K01840	manB	"phosphomannomutase [EC:5.4.2.8]"	4	0.02
K11194	PTS-Fru1-EIIA, levD	"PTS system, fructose-specific IIA component [EC:2.7.1.202]"	3	0.02
K11066	E3.5.1.28D, amiD	"N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"	3	0.02
K00955	cysNC	"bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]"	9	0.05
K00203	fwdD, fmdD	"formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]"	2	0.01
K08282	E2.7.11.1	"non-specific serine/threonine protein kinase [EC:2.7.11.1]"	40	0.22
K11537	xapB	"MFS transporter, NHS family, xanthosine permease"	2	0.01
K03978	engB	"GTP-binding protein"	3	0.02
K03535	gudP	"MFS transporter, ACS family, glucarate transporter"	2	0.01
K08217	mef	"MFS transporter, DHA3 family, macrolide efflux protein"	23	0.13
K03530	hupB	"DNA-binding protein HU-beta"	2	0.01
K04103	ipdC	"indolepyruvate decarboxylase [EC:4.1.1.74]"	2	0.01
K00975	glgC	"glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]"	2	0.01
K12308	bgaB, lacA	"beta-galactosidase [EC:3.2.1.23]"	4	0.02
K10715	rpfC	"two-component system, sensor histidine kinase RpfC [EC:2.7.13.3]"	31	0.17
K03475	PTS-Ula-EIIC, ulaA, sgaT	"PTS system, ascorbate-specific IIC component"	5	0.03
K14393	actP	"cation/acetate symporter"	1	0.01
K07559	kptA	"putative RNA 2'-phosphotransferase [EC:2.7.1.-]"	1	0.01
K11065	tpx	"thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]"	7	0.04
K02778	PTS-Glc-EIIB, ptsG	"PTS system, glucose-specific IIB component [EC:2.7.1.199]"	12	0.07
K10539	araG	"L-arabinose transport system ATP-binding protein [EC:7.5.2.12]"	2	0.01
K18141	acrE	"membrane fusion protein, multidrug efflux system"	2	0.01
K11074	potI	"putrescine transport system permease protein"	1	0.01
K01736	aroC	"chorismate synthase [EC:4.2.3.5]"	4	0.02
K02297	cyoA	"cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]"	2	0.01
K19225	gluP	"rhomboid protease GluP [EC:3.4.21.105]"	1	0.01
K03555	mutS	"DNA mismatch repair protein MutS"	8	0.04
K04751	glnB	"nitrogen regulatory protein P-II 1"	1	0.01
K13116	DDX41, ABS	"ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]"	5	0.03
K04460	PPP5C	"serine/threonine-protein phosphatase 5 [EC:3.1.3.16]"	2	0.01
K00166	BCKDHA, bkdA1	"2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]"	1	0.01
K02760	PTS-Cel-EIIB, celA, chbB	"PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205]"	6	0.03
K02472	wecC	"UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]"	1	0.01
K12369	dppB	"dipeptide transport system permease protein"	1	0.01
K07140	K07140	"uncharacterized protein"	1	0.01
K00529	hcaD	"3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]"	5	0.03
K01491	folD	"methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]"	7	0.04
K15586	nikC, cntC	"nickel transport system permease protein"	2	0.01
K01810	GPI, pgi	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	7	0.04
K10440	rbsC	"ribose transport system permease protein"	2	0.01
K03683	rnt	"ribonuclease T [EC:3.1.13.-]"	1	0.01
K02495	hemN, hemZ	"oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"	4	0.02
K02486	K02486	"two-component system, sensor kinase [EC:2.7.13.3]"	48	0.26
K01120	cpdP	"3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]"	14	0.08
K09807	K09807	"uncharacterized protein"	1	0.01
K00058	serA, PHGDH	"D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"	10	0.05
K02471	bacA	"vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein"	1	0.01
K10906	recE	"exodeoxyribonuclease VIII [EC:3.1.11.-]"	7	0.04
K01710	E4.2.1.46, rfbB, rffG	"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"	1	0.01
K07132	MuB	"ATP-dependent target DNA activator [EC:3.6.1.3]"	1	0.01
K00012	UGDH, ugd	"UDPglucose 6-dehydrogenase [EC:1.1.1.22]"	69	0.38
K03601	xseA	"exodeoxyribonuclease VII large subunit [EC:3.1.11.6]"	6	0.03
K03306	TC.PIT	"inorganic phosphate transporter, PiT family"	1	0.01
K10002	gltK, aatM	"glutamate/aspartate transport system permease protein"	2	0.01
K07126	K07126	"uncharacterized protein"	4	0.02
K03633	mukF	"chromosome partition protein MukF"	1	0.01
K01514	PRUNE, PPX1	"exopolyphosphatase [EC:3.6.1.11]"	1	0.01
K01446	PGRP	"peptidoglycan recognition protein"	4	0.02
K19973	mntA	"manganese transport system ATP-binding protein [EC:7.2.2.5]"	1	0.01
K00133	asd	"aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"	5	0.03
K00441	frhB	"coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]"	5	0.03
K21603	ftcR	"two-component system, OmpR family, flagellar system response regulator FtcR"	1	0.01
K02068	ABC.X2.A	"putative ABC transport system ATP-binding protein"	5	0.03
K01635	lacD	"tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"	1	0.01
K03189	ureG	"urease accessory protein"	1	0.01
K12406	PKLR	"pyruvate kinase isozymes R/L [EC:2.7.1.40]"	2	0.01
K18118	aarC, cat1	"succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"	6	0.03
K01689	ENO, eno	"enolase [EC:4.2.1.11]"	6	0.03
K00620	argJ	"glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]"	6	0.03
K06077	slyB	"outer membrane lipoprotein SlyB"	1	0.01
K00823	puuE	"4-aminobutyrate aminotransferase [EC:2.6.1.19]"	1	0.01
K07313	pphA	"serine/threonine protein phosphatase 1 [EC:3.1.3.16]"	1	0.01
K01150	endA	"deoxyribonuclease I [EC:3.1.21.1]"	5	0.03
K07091	lptF	"lipopolysaccharide export system permease protein"	5	0.03
